ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
BFIN,BankFinancial Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,199,2019-01-22 00:00:00,2023-12-13 00:00:00
LCUT,"Lifetime Brands, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,198,2019-01-30 00:00:00,2023-11-09 00:00:00
DAVA,Endava plc,Technology,Software - Infrastructure,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,198,2019-02-28 00:00:00,2023-12-14 00:00:00
DGICA,Donegal Group Inc.,Financial Services,Insurance - Property & Casualty,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,198,2019-01-30 00:00:00,2023-08-30 00:00:00
AMJ,JPMorgan Alerian MLP Index ETN,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,198,2019-01-09 00:00:00,2023-10-18 00:00:00
LTRX,"Lantronix, Inc.",Technology,Communication Equipment,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,197,2019-01-04 00:00:00,2023-11-09 00:00:00
FSK,FS KKR Capital Corp.,Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,197,2019-01-22 00:00:00,2023-12-13 00:00:00
FMN,Federated Hermes Premier Municipal Income Fund,Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,197,2019-01-09 00:00:00,2023-05-11 00:00:00
ING,ING Groep N.V.,Financial Services,Banks - Diversified,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-24 00:00:00,2023-12-16 00:00:00
ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-16 00:00:00,2023-12-12 00:00:00
PMO,Putnam Municipal Opportunities Trust,Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-09 00:00:00,2023-05-23 00:00:00
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,Biotechnology,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-07-30 00:00:00,2023-12-13 00:00:00
VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-29 00:00:00,2023-11-21 00:00:00
PSR,Invesco Active U.S. Real Estate Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-03 00:00:00,2023-12-06 00:00:00
GMS,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-21 00:00:00,2023-12-15 00:00:00
HAYN,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-31 00:00:00,2023-11-20 00:00:00
ACWX,iShares MSCI ACWI ex U.S. ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-18 00:00:00,2023-09-26 00:00:00
GDS,GDS Holdings Limited,Technology,Information Technology Services,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-15 00:00:00,2023-12-15 00:00:00
EYE,"National Vision Holdings, Inc.",Consumer Cyclical,Specialty Retail,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,196,2019-01-04 00:00:00,2023-12-11 00:00:00
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,195,2019-01-08 00:00:00,2023-12-12 00:00:00
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,195,2019-01-03 00:00:00,2023-12-15 00:00:00
BSRR,Sierra Bancorp,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,195,2019-01-18 00:00:00,2023-10-30 00:00:00
JRVR,"James River Group Holdings, Inc.",Financial Services,Insurance - Specialty,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,194,2019-01-09 00:00:00,2020-05-15 00:00:00
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,194,2020-04-06 00:00:00,2020-06-11 06:10:24
AAXJ,iShares MSCI All Country Asia ex Japan ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,194,2019-02-05 00:00:00,2023-12-13 00:00:00
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,194,2019-01-08 00:00:00,2023-12-12 00:00:00
GHL,,,,,NONE,1238,2019-01-02,2023-11-30,94.9,True,True,True,194,2019-01-07 00:00:00,2020-05-28 02:09:47
FLIC,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,193,2019-01-02 00:00:00,2023-12-12 00:00:00
FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,192,2019-01-04 00:00:00,2023-10-12 00:00:00
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,192,2019-01-20 00:00:00,2023-11-03 00:00:00
SPLG,State Street SPDR Portfolio S&P 500 ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,192,2019-01-02 00:00:00,2023-12-16 06:00:00
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,191,2019-01-25 00:00:00,2023-12-16 11:00:00
DSI,iShares ESG MSCI KLD 400 ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,191,2019-01-04 00:00:00,2023-11-22 00:00:00
AINC,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,191,2019-01-17 00:00:00,2023-10-03 00:00:00
SUM,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,190,2019-01-14 00:00:00,2023-12-14 00:00:00
LEO,"BNY Mellon Strategic Municipals, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,190,2019-01-03 00:00:00,2023-06-01 00:00:00
FHB,"First Hawaiian, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,190,2019-01-04 00:00:00,2023-12-15 00:00:00
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,190,2019-01-07 00:00:00,2023-12-08 00:00:00
XNET,Xunlei Limited,Technology,Software - Infrastructure,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,189,2019-01-02 00:00:00,2023-11-14 00:00:00
GOGL,,,,,,1257,2019-01-02,2023-12-28,96.4,True,True,True,189,2019-01-14 00:00:00,2023-12-13 00:00:00
WSC,WillScot Holdings Corporation,Industrials,Rental & Leasing Services,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,189,2019-01-31 00:00:00,2023-12-14 00:00:00
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,189,2019-03-15 00:00:00,2023-12-11 00:00:00
PJP,Invesco Pharmaceuticals ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,188,2019-01-02 00:00:00,2023-12-11 00:00:00
FRA,"BlackRock Floating Rate Income Strategies Fund, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,188,2019-01-02 00:00:00,2023-06-05 00:00:00
KEP,Korea Electric Power Corporation,Utilities,Utilities - Regulated Electric,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,188,2019-01-10 00:00:00,2023-10-26 00:00:00
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,,,BTS,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,188,2019-01-02 09:21:57,2023-10-25 00:00:00
